name,count
SPY,2846
QQQ,2389
DIA,2078
TLT,585
AAPL,583
TBT,480
GLD,475
USO,395
UUP,385
OIL,332
AMZN,307
IAU,287
TSLA,277
FXE,257
TMV,239
GE,193
UWT,190
FB,177
UNG,174
BA,166
ABBV,164
EUO,163
SLV,163
VNQ,150
UGAZ,146
DGAZ,141
T,141
IWM,136
VOO,136
FXI,126
YINN,125
EEM,122
VGK,121
IYR,119
MU,119
PHYS,117
ACB,116
NFLX,114
BABA,111
VT,110
UDN,109
SH,100
YANG,100
NVDA,98
IBM,96
CGC,95
AMD,94
GDX,91
XHB,90
MSFT,89
FXB,85
HYG,85
INTC,84
JNK,81
MO,80
BAC,80
ACWI,80
APHA,78
BTC-USD,77
XLI,73
KMI,73
GOOG,72
F,72
AGG,72
GOOGL,67
VWO,67
TIP,67
GLQ,66
XLE,65
XOM,65
CELG,64
BMY,63
UCO,62
VXX,62
VIS,62
EWU,61
BRK.B,61
FIDU,61
GM,61
GLRE,60
JNJ,60
CAT,59
AGNC,58
CVX,57
ADM,57
AMGN,57
BRK.A,57
DIS,57
HVRRF,55
CHK,55
ENB,54
BP,54
ET,54
HEDJ,53
ADBE,53
CSCO,53
EPD,52
HVRRY,52
AMRN,50
GILD,50
GXC,49
CVS,48
O,48
XLK,47
KHC,47
BLK,47
XLU,45
SBUX,45
HD,45
BBDC,45
AAL,44
AGN,44
LQD,44
GOLD,43
FEZ,43
IEMG,43
BPY,42
VZ,42
KO,42
EWC,42
PM,42
ATVI,42
BAM,41
XLF,41
DXJ,41
JD,41
AMAT,41
MMM,41
ABT,40
AFL,39
BIL,39
FXY,39
GIS,39
V,39
PG,38
PFE,38
C,38
JPM,38
MNKD,37
BNS,37
AVGO,37
XLY,37
AMLP,37
OHI,37
SNAP,37
RDS.A,36
EWJ,36
CTL,36
EWZ,36
FDX,35
BND,35
IRM,35
TLRY,35
KIM,35
SLB,35
ESV,34
GBB,34
BPR,34
EWG,34
IVV,34
UNIT,34
LMT,34
BBY,33
DLR,33
BIDU,33
TWTR,33
WMT,33
EFA,33
IEF,33
SHLDQ,33
AOS,33
BOIL,33
BUD,33
MCD,32
QCOM,32
MUB,32
NEM,31
VTI,31
ADP,31
ARCC,31
SQ,31
CBL,31
AMZA,31
D,31
RDS.B,30
IVE,30
UPRO,30
NUGT,30
COP,30
MRK,30
FXC,30
WFC,30
PCG,30
NE,29
AMT,29
RIG,29
XLP,29
RDC,29
CRON,29
BB,29
DO,28
BIIB,28
BHC,28
ITB,28
GSG,28
HON,28
CAH,28
FCX,28
CRM,27
APLE,27
VTR,27
TGT,27
NLY,27
EADSF,27
XRT,27
SHY,27
EUFN,27
CMCSA,27
WBA,27
ITW,27
PEP,27
PYPL,27
AXP,26
BTI,26
KWEB,26
COST,26
BEP,26
CL,26
FTR,26
HCLP,26
BKLN,26
OXY,26
LOW,25
EA,25
SKT,25
DBB,25
ABC,25
CMG,24
WINMQ,24
DAL,24
LGCY,24
BIP,24
M,24
DHY,24
GS,24
LLY,24
DBA,24
IYT,24
USDU,24
ALB,24
ACWX,24
MA,24
ETH-USD,24
AA,24
AZN,24
AWF,24
NKE,23
WLL,23
TCEHY,23
BNO,23
DBUK,23
DBC,23
GDXJ,23
ACHC,23
BCE,23
RHHBY,23
CLR,23
QCAN,23
INDA,23
DBJP,23
RHT,23
KMB,23
AINV,23
REGN,22
ORCL,22
APA,22
APU,22
CNI,22
SPG,22
VGT,22
PSEC,22
EPI,22
EMB,22
FCAU,22
MORL,22
IFF,22
LRCX,22
GME,22
BBT,22
HAL,22
TECL,21
AI,21
DB,21
BPL,21
WY,21
TRUP,21
PSX,21
IBB,21
BRX,21
ALEAF,21
ECA,21
EGO,21
TXN,21
