name,count
SPY,428
QQQ,375
DIA,317
TLT,92
TBT,76
GLD,73
AAPL,69
TSLA,58
UUP,52
USO,50
FXE,49
AMZN,47
OIL,46
IAU,45
BA,42
TMV,38
VNQ,37
GE,33
IWM,33
EUO,30
UNG,29
YINN,29
UWT,28
ABBV,27
UGAZ,26
T,26
DGAZ,25
KHC,25
YANG,24
VGK,23
IYR,23
ACB,20
FB,20
BRK.B,20
PHYS,19
CVS,19
FXB,19
XHB,19
GXC,19
BRK.A,19
SLV,18
GDX,17
EWU,17
VOO,17
EEM,17
UDN,17
VT,17
WINMQ,16
INTC,16
BABA,15
BNS,15
CGC,15
MU,15
TIP,15
UNIT,15
AMD,14
GOLD,14
XLK,14
BMY,14
NFLX,14
CHK,14
ADBE,14
FXI,14
MSFT,13
SH,13
KMI,13
BAM,12
CELG,12
UPRO,12
XLU,11
XLE,11
JD,11
HYG,11
AAL,11
DLR,11
JNK,11
BP,11
ET,11
ALB,11
MNKD,10
PG,10
NVDA,10
LYFT,10
GLRE,10
XLI,10
COST,10
ADM,10
SHY,10
MDT,10
ACWI,10
HD,10
CSCO,10
O,10
NEM,9
AGNC,9
BIL,9
BIDU,9
NE,9
GBB,9
NTNX,9
JNJ,9
WMT,9
GIS,9
EA,9
PFE,9
AMRN,9
EADSF,9
XOM,9
CTL,9
APHA,9
FTR,9
OAK,8
AI,8
CRM,8
BBY,8
GOOGL,8
IBM,8
ESV,8
ENB,8
VWO,8
BPR,8
XLY,8
VZ,8
CVX,8
DVN,8
IEF,8
BZUN,8
KWEB,8
RIG,8
BHC,8
SQ,8
WBA,8
CLR,8
JPM,8
PCG,8
BTC-USD,8
UCO,7
XLF,7
CAT,7
WLL,7
AVGO,7
CDEV,7
CPB,7
NUGT,7
CRBN,7
GOOG,7
KR,7
AMGN,7
RY,7
GLQ,7
AMGP,7
CRC,7
AGN,7
DVA,7
VIS,7
FIDU,7
DIS,7
BOIL,7
SPHQ,7
ETH-USD,7
AGG,7
PEP,7
AMED,6
VTI,6
ADP,6
AXP,6
DISH,6
DG,6
MCD,6
DPZ,6
MO,6
HVRRF,6
HVRRY,6
LGCY,6
NWL,6
CNQ,6
IVE,6
FEZ,6
M,6
GPRO,6
SDRL,6
SGMO,6
AMT,6
BAC,6
KO,6
XRT,6
DSI,6
ETM,6
HA,6
ASHR,6
